,0,1,2,3,4,5,6,7,8
empty,0,0,0,0,0,0,0,0,0
sadness,0,0,0,0,0,0,0.166666667,0,0
enthusiasm,0,0,0,0,0,0,0,0,0
neutral,0.5,0.571428571,0.333333333,0.5,0.5,0.6,0.166666667,0.833333333,0.6
worry,0.25,0.428571429,0.333333333,0.166666667,0.5,0,0.666666667,0,0.4
surprise,0,0,0,0,0,0,0,0,0
love,0,0,0,0.166666667,0,0.2,0,0,0
fun,0,0,0,0,0,0,0,0,0
hate,0,0,0,0,0,0,0,0,0
happiness,0.25,0,0.333333333,0.166666667,0,0.2,0,0.166666667,0
boredom,0,0,0,0,0,0,0,0,0
relief,0,0,0,0,0,0,0,0,0
anger,0,0,0,0,0,0,0,0,0
